track_id,type,traveled_d,avg_speed,length,width
1,Motorcycle,107.61,17.608581,2.5,1
2,Car,20.82,20.820484,5,2
3,Car,66.16,13.380815,5,2
4,Motorcycle,9.36,33.685504,2.5,1
5,Motorcycle,38.18,31.240518,2.5,1
6,Car,45.55,29.28455,5,2
7,Motorcycle,29.61,16.655552,2.5,1
8,Bus,446.34,37.367836,12.5,4
9,Car,6.51,4.508207,5,2
10,Car,72.61,31.120463,5,2
11,Car,10.36,26.642511,5,2
12,Car,4.71,28.25655,5,2
13,Taxi,174.28,16.598493,5,2
14,Car,100.44,24.767151,5,2
15,Car,30.63,20.421362,5,2
16,Car,23.7,32.811148,5,2
17,Bus,131.18,13.416114,12.5,4
18,Motorcycle,461.68,30.218831,2.5,1
19,Car,317.7,19.856345,5,2
20,Bus,444.78,5.054373,12.5,4
21,Car,243,26.509449,5,2
22,Car,437.28,39.159479,5,2
23,Medium Vehicle,51.87,2.233788,5.83,2.67
24,Car,471.19,18.318485,5,2
25,Car,28.44,10.449184,5,2
26,Car,467.65,37.917294,5,2
28,Car,70.86,30.367409,5,2
29,Car,360.64,15.382575,5,2
30,Car,254.05,26.742413,5,2
31,Car,109.17,16.939577,5,2
32,Motorcycle,467.12,36.398708,2.5,1
33,Car,464.6,38.897161,5,2
34,Taxi,487.61,14.800932,5,2
35,Car,347.65,16.731983,5,2
36,Car,67.24,25.215758,5,2
37,Car,459.13,44.671955,5,2
38,Car,67.38,11.55146,5,2
39,Taxi,255.7,26.300924,5,2
40,Car,355.99,15.515244,5,2
41,Car,477.22,19.701732,5,2
42,Medium Vehicle,226.54,15.623641,5.83,2.67
43,Car,75.05,25.978953,5,2
44,Car,483.08,19.540163,5,2
45,Car,257.1,15.74074,5,2
46,Car,424.82,18.515128,5,2
47,Car,65.47,12.024956,5,2
48,Car,354.47,17.67435,5,2
49,Taxi,476.83,20.582539,5,2
50,Car,458.67,22.016396,5,2
51,Car,355.49,17.340911,5,2
52,Motorcycle,481.65,19.526258,2.5,1
53,Car,363.84,18.041519,5,2
54,Car,477.58,20.967133,5,2
55,Car,363.18,17.386483,5,2
56,Car,357.98,18.358118,5,2
58,Taxi,356.87,12.052027,5,2
59,Car,351.75,12.562586,5,2
60,Motorcycle,339.5,17.662032,2.5,1
61,Taxi,355.77,12.174531,5,2
62,Car,354.33,13.016115,5,2
63,Motorcycle,371.81,22.61016,2.5,1
64,Medium Vehicle,75.19,9.464829,5.83,2.67
65,Motorcycle,164.12,12.156766,2.5,1
66,Car,219,14.179725,5,2
67,Car,204.21,0.905376,5,2
68,Car,410.96,15.705595,5,2
69,Taxi,257.1,12.340963,5,2
70,Taxi,57.61,20.332677,5,2
71,Car,459.91,35.227378,5,2
72,Car,477.32,30.146792,5,2
73,Taxi,219.44,15.369575,5,2
74,Car,422.19,29.341088,5,2
75,Car,478.84,36.992256,5,2
76,Taxi,256.18,26.654431,5,2
77,Car,458.18,35.396247,5,2
78,Motorcycle,459.47,34.750044,2.5,1
79,Car,486.2,29.868888,5,2
80,Bus,158.17,22.069766,12.5,4
81,Taxi,461.35,35.48865,5,2
82,Car,476.41,31.07015,5,2
83,Taxi,477.03,34.484447,5,2
84,Taxi,477.54,34.660061,5,2
85,Taxi,356.6,15.429767,5,2
86,Medium Vehicle,215.69,17.488012,5.83,2.67
87,Medium Vehicle,486.23,21.089559,5.83,2.67
88,Motorcycle,464.41,43.766033,2.5,1
89,Motorcycle,159.17,27.815369,2.5,1
90,Car,484.67,20.921054,5,2
91,Motorcycle,418.72,20.152471,2.5,1
92,Car,330.13,8.935984,5,2
93,Car,223.81,24.715092,5,2
94,Car,35.08,3.394845,5,2
95,Taxi,302.03,2.07346,5,2
96,Motorcycle,228.67,12.664559,2.5,1
97,Taxi,455.14,32.127251,5,2
98,Car,250.45,26.517908,5,2
99,Car,67.14,10.601297,5,2
100,Car,227.28,13.282878,5,2
101,Motorcycle,161.38,25.041167,2.5,1
102,Car,470.59,35.0023,5,2
103,Bus,472.57,31.044455,12.5,4
104,Car,217.19,15.094009,5,2
105,Taxi,452.48,31.44641,5,2
106,Car,472.61,42.964982,5,2
107,Taxi,454.44,31.58246,5,2
108,Car,55.83,1.854093,5,2
109,Car,85.29,0.405081,5,2
110,Car,110.86,15.116804,5,2
111,Car,328.17,11.885376,5,2
112,Car,33.22,10.870887,5,2
113,Taxi,249.82,26.451047,5,2
114,Car,470.15,44.776382,5,2
115,Car,121.83,18.90486,5,2
116,Motorcycle,320.71,16.307056,2.5,1
117,Car,252.06,24.792644,5,2
118,Car,471.77,39.31446,5,2
119,Taxi,350.64,16.741566,5,2
120,Car,68.79,11.359853,5,2
121,Car,452.88,34.541412,5,2
122,Car,415.81,21.083208,5,2
123,Car,461.42,35.646089,5,2
124,Taxi,450.86,21.757188,5,2
125,Car,186.04,13.837798,5,2
126,Car,328.98,25.634767,5,2
128,Car,472.06,35.552955,5,2
129,Car,27.14,11.629733,5,2
130,Car,227.13,15.604661,5,2
131,Car,468.69,21.304029,5,2
132,Taxi,404.46,12.381308,5,2
133,Taxi,449.88,21.31007,5,2
134,Taxi,353.1,18.056338,5,2
135,Car,367.82,18.916246,5,2
136,Motorcycle,343.43,19.562248,2.5,1
